prompt_version,model_name,email_id,event_date,event_type,event_time,meal_type,attendee_count,external_guests,catering_type,office_location,dietary_requirements,room_location,av_equipment,extra_arrangements,missing_fields,draft_reply
v1,gpt-4o,1,"Thursday, March 5th",workshop,10:00 AM to 3:00 PM,"light lunch, coffee and tea",18,Yes,,,,Orange Room,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,2,"Monday, April 14th",tech talk,1:00 PM,pizzas or something easy,25,,,Wibaut office,,,,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,,,,,,some AV equipment for presentations,advise on a good spot for a post-meeting dinner,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""room_location""]",
v1,gpt-4o,4,May 8th,strategy session,,lunch,7,,wraps and salads,,gluten-free,Paris Room,,,"[""event_time"", ""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,5,June 10th,client engagement session,10:00 AM to 4:00 PM,lunch,20,visitors from Ericsson,buffet,,multiple dietary options,Grand Café,,,"[""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,6,"Thursday, September 15",leadership workshop,,light lunch,around 18,a mix of internal and external stakeholders,selection of salads and wraps,,To be confirmed,A202,projector,,"[""event_time"", ""office_location"", ""extra_arrangements""]",
v1,gpt-4o,7,"Thursday, March 10",client workshop,9:00 AM,breakfast,25,,simple breakfast,Hilversum office,,meeting room,,,"[""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,8,"Monday, October 3rd",strategy session,10:00 to 3:00 PM,lunch,15,,sandwiches and a fruit platter,,To be confirmed,G110 room,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,9,"Thursday, July 7th",roundtable discussion,,"refreshments like coffee, tea, and perhaps a few snacks",10,"a few from our partner, TechAdvantage",,Laap office,,Paris room,,,"[""event_time"", ""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,10,"Friday, August 20th",internal training session,2:00 PM to 5:00 PM,coffee station,12,,,Wibaut office,,training room II,,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
