email_id,email_text
1,"Hello Team,

On Thursday, March 5th, we will be hosting a workshop for a group of potential clients. We expect around 18 participants including some external guests. I was wondering if we could reserve the Orange Room from 10:00 AM to 3:00 PM for this?

Additionally, we would like to provide a light lunch, perhaps sandwiches and salads. Could you also arrange some coffee and tea for the morning session? 

Please let me know if this is doable. Looking forward to your reply!

Thanks in advance!"
2,"Hi Hospitality,

I am organizing a tech talk for our team on Monday, April 14th. We would like to have this at the Wibaut office and expect around 25 people.

Could you please assist in reserving a suitable room for the entire afternoon, starting around 1:00 PM? We also plan on having a meal afterwards, perhaps some pizzas or something easy. 

Let me know what options are available. I apologize for the late notice.

Thanks!"
3,"Good morning,

We have a partner event scheduled for Wednesday, July 22. It's quite an important meeting involving several stakeholders from Xebia and from our partner company, SAP.

I think we'll need a space capable of seating about 15 people and possibly some AV equipment for presentations. The event will run from 2:00 PM to 6:00 PM.

Could you also arrange some refreshments and snacks? And maybe advise on a good spot for a post-meeting dinner?

Thanks a lot and sorry for the lack of specifics!"
4,"Hi there,

I need to book a space for a last-minute strategy session this Friday, May 8th. We will have 7 team members attending. Do you think the Paris Room is available for this?

We'd also appreciate some lunch around 12:30 PM. Something simple, like wraps and salads, would be great. There is one gluten-free attendee that we need to accommodate.

Apologies for the short notice and thank you for your help!"
5,"Hi Team,

I hope you’re doing well. I’m looking to host a client engagement session on June 10th. We’re aiming for around 20 attendees, including some visitors from Ericsson.

Would it be possible to reserve the Grand Café for this? The event will be from 10:00 AM to 4:00 PM. We’ll also need some lunch catered, something like a buffet with multiple dietary options if possible.

If there are any issues or additional details you need from me, please let me know.

Thanks in advance!"
6,"Good morning Hospitality Team,

We are looking to host a leadership workshop on Thursday, September 15. We anticipate around 18 attendees, a mix of internal and external stakeholders. Can we reserve the A202 room for this?

Would it be possible to arrange a light lunch around 12:30? I think a selection of salads and wraps should suffice. I’ll confirm dietary requirements by Tuesday.

Also, could we have a projector set up in the room? Please let me know if this is feasible.

Thanks a lot!"
7,"Hi Team,

I hope you’re well! We’re setting up a client workshop on Thursday, March 10, and we’re expecting about 25 participants. The event will be held at the Hilversum office.

I apologize for the short notice, but could we organize a simple breakfast for when they arrive at 9:00 AM? Maybe some pastries and coffee in the meeting room?

Please let me know if this can be arranged.

Best regards,"
8,"Hello Hospitality,

We're planning a strategy session on Monday, October 3rd. The session will run from 10:00 to 3:00 PM in the G110 room.

Could you arrange lunch for around 15 people? A mix of sandwiches and a fruit platter would be great. I’ll send over dietary preferences soon, but there might be a gluten-free request.

If there's anything else you need from my side, please let me know.

Thanks in advance!"
9,"Hoi!

I just realized I forgot to ask, but on Thursday, July 7th, we'll need to host a roundtable discussion at the Laap office. We should expect about 10 guests, including colleagues and a few from our partner, TechAdvantage.

Can you prepare the Paris room and arrange for some refreshments like coffee, tea, and perhaps a few snacks throughout the day?

Thanks for your help, and apologies for the late notice!

Regards,"
10,"Hi Hospitality,

We're planning an internal training session on Friday, August 20th, and need to reserve a space at the Wibaut office. Could we use the training room II from 2:00 PM to 5:00 PM?

Lunch is not required, but could you set up a coffee station nearby? We're expecting around 12 people.

Thanks a lot for your assistance. Let me know if you need further details.

Best,"
